tiempo,led_verde,led_rojo,val_x,val_y
3.0399998649954796e-05,1,255.0000101333329,525,494
0.6171963999513537,1,255.20573213331713,525,494
0.7301240999950096,1,255.24337469999833,526,494
0.8435276999953203,1,255.28117589999843,526,494
0.957341399975121,1,255.3191137999917,526,494
1.068323399988003,1,255.356107799996,525,494
1.1771700999815948,1,255.3923900333272,525,494
1.2884789999807253,1,255.42949299999358,525,494
1.4015189000056125,1,255.46717296666853,526,494
1.514858499984257,1,255.50495283332808,526,494
1.6279424999956973,1,255.54264749999857,525,494
1.7415792999672703,1,255.58052643332243,526,494
1.8558054000022821,1,255.61860180000076,526,494
1.9692478000069968,1,255.65641593333567,526,494
2.0821272999746725,1,255.69404243332488,526,494
2.1957451999769546,1,255.73191506665898,526,494
2.3089888999820687,1,255.7696629666607,525,494
2.4199304999783635,1,255.8066434999928,526,494
2.530818899977021,1,255.84360629999233,526,494
2.6439290999551304,1,255.88130969998505,526,494
2.756953699979931,1,255.91898456666,526,494
2.8648733999580145,1,255.954957799986,526,494
2.9737137999618426,1,255.9912379333206,525,494
