tiempo,led_verde,led_rojo,val_x,val_y
3.0499999411404133e-05,1,255.00001016666647,525,494
0.6172357999603264,1,255.20574526665345,525,494
0.7301280999672599,1,255.24337603332242,526,494
0.8433440999942832,1,255.28111469999808,526,494
0.9564325999817811,1,255.31881086666058,525,494
1.0697112999623641,1,255.3565704333208,525,494
1.1806329999817535,1,255.39354433332724,526,494
1.293579299992416,1,255.43119309999747,525,494
1.4065960999578238,1,255.4688653666526,525,494
1.5178575000027195,1,255.50595250000092,526,494
1.6308919999864884,1,255.54363066666215,525,494
1.743805899983272,1,255.58126863332777,525,494
1.856820399989374,1,255.6189401333298,525,494
1.9677751999697648,1,255.65592506665658,525,494
2.080788599967491,1,255.69359619998917,525,494
2.193892999959644,1,255.7312976666532,525,494
2.3049698999966495,1,255.76832329999888,525,494
2.4180293999961577,1,255.80600979999872,526,494
2.530880399979651,1,255.84362679999322,525,494
2.64404809998814,1,255.8813493666627,526,494
2.754825899959542,1,255.9182752999865,525,494
2.865787899994757,1,255.95526263333159,525,494
2.9788292999728583,1,255.99294309999095,525,494
