tiempo,led_verde,led_rojo,val_x,val_y
2.9999995604157448e-05,1,255.00000999999853,526,494
0.6180505999946035,1,255.20601686666487,525,494
0.7310962000046857,1,255.2436987333349,525,494
0.8421238000155427,1,255.2807079333385,526,494
0.952710899990052,1,255.31757029999667,525,494
1.0659619999933057,1,255.35532066666443,525,494
1.1791405000258237,1,255.39304683334194,525,494
1.2922480999841355,1,255.4307493666614,526,494
1.4032273000339046,1,255.46774243334463,526,494
1.516348300036043,1,255.50544943334535,525,494
1.6293107999954373,1,255.5431035999985,526,494
1.7404469000175595,1,255.5801489666725,526,494
1.8525024999980815,1,255.61750083333268,525,494
1.9656665000366047,1,255.65522216667887,526,494
2.0784134999848902,1,255.69280449999496,526,494
2.1914532000082545,1,255.73048440000275,526,494
2.3044066000147723,1,255.76813553333827,526,494
2.417488500010222,1,255.8058295000034,526,494
2.5283088000142016,1,255.84276960000474,526,494
2.6415064000175335,1,255.88050213333918,526,494
2.7546174000017345,1,255.91820580000058,525,494
2.8681007000268437,1,255.95603356667561,525,494
2.9812268000096083,1,255.99374226666987,526,494
